time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
1980-01-01;-6.8;-10.1;-4.5;187.0;3.63;0.0;3425000;7085000;0.363;186.99999999999997;1.0821759259259258;0.3678938062575164;0.004893806257516398;98.66977748081715;0.0;0.0;2.0;19800101;1980;1;1;3425313.466778788;7084672.754657055
1980-01-02;-7.9;-9.8;-6.8;200.0;3.12;1.0;3425000;7085000;0.31200000000000006;200.0;1.1574074074074074;0.33795888222201714;0.025958882222017088;92.31892292596595;1.0;0.0;2.0;19800102;1980;1;2;3425313.466778788;7084672.754657055
1980-01-03;-7.7;-8.6;-6.8;207.0;3.03;1.0;3425000;7085000;0.303;207.0;1.1979166666666667;0.3432345592759776;0.04023455927597763;88.27782395780635;2.0;0.0;2.0;19800103;1980;1;3;3425313.466778788;7084672.754657055
1980-01-04;-9.1;-11.4;-7.4;221.0;2.62;0.5;3425000;7085000;0.262;221.0;1.2789351851851851;0.30779384072008115;0.045793840720081136;85.12191127251059;2.5;0.0;2.0;19800104;1980;1;4;3425313.466778788;7084672.754657055
1980-01-05;-8.0;-11.0;-6.3;218.0;3.06;0.0;3425000;7085000;0.30600000000000005;218.00000000000003;1.2615740740740742;0.33534822205832365;0.029348222058323603;91.24843367941895;2.5;0.0;2.0;19800105;1980;1;5;3425313.466778788;7084672.754657055
1980-01-06;-7.8;-11.2;-6.3;241.0;3.07;0.0;3425000;7085000;0.307;240.99999999999997;1.3946759259259258;0.34058762502931206;0.03358762502931206;90.1383307668852;2.5;0.0;2.0;19800106;1980;1;6;3425313.466778788;7084672.754657055
1980-01-07;-6.4;-9.3;-5.1;249.0;3.55;0.0;3425000;7085000;0.355;249.00000000000003;1.4409722222222223;0.3793506333050767;0.024350633305076697;93.58096938103864;2.5;0.0;2.0;19800107;1980;1;7;3425313.466778788;7084672.754657055
1980-01-08;-7.2;-10.4;-5.5;256.0;3.24;0.0;3425000;7085000;0.32400000000000007;256.0;1.4814814814814814;0.35674594839280743;0.03274594839280737;90.82093334477024;2.5;0.0;2.0;19800108;1980;1;8;3425313.466778788;7084672.754657055
1980-01-09;-8.0;-8.7;-6.4;304.0;2.95;0.0;3425000;7085000;0.29500000000000004;304.0;1.7592592592592593;0.33534822205832365;0.04034822205832361;87.96826122689082;2.5;0.0;2.0;19800109;1980;1;9;3425313.466778788;7084672.754657055
1980-01-10;-9.3;-15.3;-6.5;313.0;2.62;0.0;3425000;7085000;0.262;313.0;1.8113425925925926;0.3030066415620249;0.04100664156202488;86.46675156998799;2.5;0.0;2.0;19800110;1980;1;10;3425313.466778788;7084672.754657055
