time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
1980-01-01;-6.2;-9.5;-4.5;146.0;3.79;1.0;3365000;7135000;0.379;146.0;0.8449074074074074;0.38519722049317784;0.006197220493177835;98.39115648725517;1.0;0.0;2.0;19800101;1980;1;1;3368089.2838314157;7130050.699745363
1980-01-02;-8.1;-10.0;-6.3;170.0;3.14;0.0;3365000;7135000;0.31400000000000006;170.0;0.9837962962962963;0.3327555362877553;0.018755536287755226;94.36356897409031;1.0;0.0;2.0;19800102;1980;1;2;3368089.2838314157;7130050.699745363
1980-01-03;-8.4;-9.6;-6.8;168.0;3.03;0.0;3365000;7135000;0.303;168.0;0.9722222222222222;0.3250842509645716;0.022084250964571617;93.20660693372734;1.0;0.0;2.0;19800103;1980;1;3;3368089.2838314157;7130050.699745363
1980-01-04;-11.6;-16.5;-8.1;180.0;2.53;0.0;3365000;7135000;0.253;180.0;1.0416666666666667;0.252533333703584;0.0;100.0;1.0;0.0;2.0;19800104;1980;1;4;3368089.2838314157;7130050.699745363
1980-01-05;-9.9;-13.2;-8.4;137.0;3.01;0.0;3365000;7135000;0.301;137.0;0.7928240740740741;0.289040615790254;0.0;100.0;1.0;0.0;2.0;19800105;1980;1;5;3368089.2838314157;7130050.699745363
1980-01-06;-8.4;-12.4;-6.4;202.0;3.14;0.0;3365000;7135000;0.31400000000000006;202.0;1.1689814814814814;0.3250842509645716;0.011084250964571551;96.59034513924222;1.0;0.0;2.0;19800106;1980;1;6;3368089.2838314157;7130050.699745363
1980-01-07;-7.2;-13.3;-5.6;208.0;3.43;0.0;3365000;7135000;0.343;208.0;1.2037037037037037;0.35674594839280743;0.013745948392807406;96.14685227548206;1.0;0.0;2.0;19800107;1980;1;7;3368089.2838314157;7130050.699745363
1980-01-08;-6.9;-8.7;-5.6;212.0;3.51;0.0;3365000;7135000;0.351;212.0;1.2268518518518519;0.3650781622082307;0.014078162208230716;96.14379503745805;1.0;0.0;2.0;19800108;1980;1;8;3368089.2838314157;7130050.699745363
1980-01-09;-9.3;-15.2;-5.5;280.0;2.96;0.0;3365000;7135000;0.296;280.0;1.6203703703703705;0.3030066415620249;0.007006641562024907;97.68762772792535;1.0;0.0;2.0;19800109;1980;1;9;3368089.2838314157;7130050.699745363
1980-01-10;-9.0;-18.5;-5.1;189.0;2.59;0.0;3365000;7135000;0.259;189.0;1.09375;0.31021261789264365;0.05121261789264364;83.4911235266494;1.0;0.0;2.0;19800110;1980;1;10;3368089.2838314157;7130050.699745363
1980-01-11;-9.6;-14.1;-6.3;243.0;2.49;0.0;3365000;7135000;0.24900000000000003;243.0;1.40625;0.2959502104671801;0.04695021046718009;84.13577392188179;1.0;0.0;2.0;19800111;1980;1;11;3368089.2838314157;7130050.699745363
1980-01-12;-9.5;-12.6;-7.6;225.0;2.69;2.0;3365000;7135000;0.269;225.0;1.3020833333333333;0.2982859060934231;0.029285906093423075;90.18193434715928;3.0;0.0;2.0;19800112;1980;1;12;3368089.2838314157;7130050.699745363
1980-01-13;-1.5;-13.0;1.7;268.0;5.53;0.0;3365000;7135000;0.553;268.0;1.5509259259259258;0.5477940770184208;0.0;100.0;3.0;0.0;2.0;19800113;1980;1;13;3368089.2838314157;7130050.699745363
1980-01-14;-0.9;-3.5;1.6;490.0;4.46;0.0;3365000;7135000;0.446;490.00000000000006;2.8356481481481484;0.5724193707006112;0.1264193707006112;77.91490344816938;3.0;0.0;2.0;19800114;1980;1;14;3368089.2838314157;7130050.699745363
1980-01-15;-7.5;-12.0;-2.2;466.0;2.91;0.0;3365000;7135000;0.29100000000000004;465.99999999999994;2.696759259259259;0.3485834400098265;0.05758344000982646;83.48072989118383;3.0;0.0;2.0;19800115;1980;1;15;3368089.2838314157;7130050.699745363
1980-01-16;-13.8;-20.8;-8.8;448.0;1.81;0.0;3365000;7135000;0.18100000000000002;448.0;2.5925925925925926;0.21141849593130974;0.030418495931309714;85.6121879037524;3.0;0.0;2.0;19800116;1980;1;16;3368089.2838314157;7130050.699745363
1980-01-17;-5.1;-19.4;1.2;470.0;4.29;0.0;3365000;7135000;0.42900000000000005;470.0;2.7199074074074074;0.41880971984111726;0.0;100.0;3.0;0.0;2.0;19800117;1980;1;17;3368089.2838314157;7130050.699745363
1980-01-18;-1.5;-3.6;0.3;569.0;4.03;0.0;3365000;7135000;0.403;569.0;3.292824074074074;0.5477940770184208;0.14479407701842073;73.56779069125427;3.0;0.0;2.0;19800118;1980;1;18;3368089.2838314157;7130050.699745363
1980-01-19;-9.5;-14.9;-2.9;598.0;2.65;0.0;3365000;7135000;0.265;598.0;3.4606481481481484;0.2982859060934231;0.03328590609342308;88.84093904088182;3.0;0.0;2.0;19800119;1980;1;19;3368089.2838314157;7130050.699745363
1980-01-20;-4.0;-9.4;-1.5;422.0;4.49;0.0;3365000;7135000;0.44900000000000007;422.0;2.4421296296296298;0.4550054583739865;0.0060054583739864165;98.68013487234909;3.0;0.0;2.0;19800120;1980;1;20;3368089.2838314157;7130050.699745363
1980-01-21;-2.0;-4.4;-0.6;498.0;4.32;0.0;3365000;7135000;0.43200000000000005;498.00000000000006;2.8819444444444446;0.5279960666360631;0.09599606663606308;81.81879133159694;3.0;0.0;2.0;19800121;1980;1;21;3368089.2838314157;7130050.699745363
1980-01-22;-7.3;-9.2;-3.9;599.0;3.1;0.0;3365000;7135000;0.31000000000000005;599.0;3.466435185185185;0.3540064057771587;0.04400640577715864;87.56903687080172;3.0;0.0;2.0;19800122;1980;1;22;3368089.2838314157;7130050.699745363
1980-01-23;-13.6;-16.9;-8.8;684.0;1.92;0.0;3365000;7135000;0.192;684.0;3.9583333333333335;0.21489187220708733;0.022891872207087327;89.34726010250083;3.0;0.0;2.0;19800123;1980;1;23;3368089.2838314157;7130050.699745363
