time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
1980-01-01;-3.1;-4.1;-1.9;602.0;4.5;1.0;3385000;6695000;0.45;602.0;3.4837962962962963;0.4866603764010821;0.036660376401082106;92.46694857876237;1.0;0.0;2.0;19800101;1980;1;1;3387739.869744148;6696836.513279357
1980-01-02;-4.6;-5.2;-3.0;608.0;3.77;4.0;3385000;6695000;0.377;608.0;3.5185185185185186;0.4349320578982699;0.057932057898269884;86.68020513865638;5.0;0.0;2.0;19800102;1980;1;2;3387739.869744148;6696836.513279357
1980-01-03;-4.5;-5.7;-3.2;623.0;3.95;3.0;3385000;6695000;0.395;623.0;3.605324074074074;0.4382219394358174;0.04322193943581737;90.13697500141986;8.0;0.0;2.0;19800103;1980;1;3;3387739.869744148;6696836.513279357
1980-01-04;-10.5;-15.0;-3.5;1041.0;2.78;0.0;3385000;6695000;0.27799999999999997;1041.0;6.024305555555555;0.27565130635490614;0.0;100.0;8.0;0.0;2.0;19800104;1980;1;4;3387739.869744148;6696836.513279357
1980-01-05;-8.7;-15.7;-6.1;749.0;3.08;0.0;3385000;6695000;0.30800000000000005;749.0;4.3344907407407405;0.317570890062601;0.009570890062600923;96.98621934122669;8.0;0.0;2.0;19800105;1980;1;5;3387739.869744148;6696836.513279357
1980-01-06;-3.6;-6.2;-2.0;660.0;4.39;0.0;3385000;6695000;0.439;660.0;3.8194444444444446;0.4688410293217801;0.02984102932178012;93.63514977241906;8.0;0.0;2.0;19800106;1980;1;6;3387739.869744148;6696836.513279357
1980-01-07;-3.0;-3.8;-1.6;675.0;4.61;2.0;3385000;6695000;0.4610000000000001;675.0;3.90625;0.4902955818184086;0.029295581818408523;94.02491417325095;10.0;0.0;2.0;19800107;1980;1;7;3387739.869744148;6696836.513279357
1980-01-08;-5.0;-5.7;-2.8;704.0;3.83;0.0;3385000;6695000;0.383;704.0;4.074074074074074;0.42199099978293364;0.03899099978293363;90.76022953025299;10.0;0.0;2.0;19800108;1980;1;8;3387739.869744148;6696836.513279357
1980-01-09;-5.3;-6.0;-4.6;754.0;3.74;0.0;3385000;6695000;0.37400000000000005;754.0;4.363425925925926;0.4125110646398383;0.03851106463983822;90.66423474641533;10.0;0.0;2.0;19800109;1980;1;9;3387739.869744148;6696836.513279357
1980-01-10;-12.0;-17.2;-5.7;1220.0;2.38;0.0;3385000;6695000;0.238;1220.0;7.060185185185185;0.2445658781758231;0.006565878175823103;97.31529262185022;10.0;0.0;2.0;19800110;1980;1;10;3387739.869744148;6696836.513279357
1980-01-11;-7.1;-17.6;-4.1;900.0;3.34;0.0;3385000;6695000;0.334;900.0;5.208333333333333;0.3595043467940071;0.025504346794007093;92.90569167759719;10.0;0.0;2.0;19800111;1980;1;11;3387739.869744148;6696836.513279357
