ncols         1
nrows         127306
xllcorner     0
yllcorner     0
cellsize      16
NODATA_value  -9999
16.3 16.463 16.62763 16.7939063 16.96184536 17.13146382 17.30277845 17.47580624 17.6505643 17.82706994 18.00534064 18.18539405 18.36724799 18.55092047 18.73642968 18.92379397 19.11303191 19.30416223 19.49720385 19.69217589 19.88909765 20.08798863 20.28886851 20.4917572 20.69667477 20.90364152 21.11267793 21.32380471 21.53704276 21.75241319 21.96993732 22.18963669 22.41153306 22.63564839 22.86200487 23.09062492 23.32153117 23.55474648 23.79029395 24.02819689
13.8 13.938 14.07738 14.2181538 14.36033534 14.50393869 14.64897808 14.79546786 14.94342254 15.09285676 15.24378533 15.39622318 15.55018542 15.70568727 15.86274414 16.02137158 16.1815853 16.34340115 16.50683516 16.67190352 16.83862255 17.00700878 17.17707886 17.34884965 17.52233815 17.69756153 17.87453715 18.05328252 18.23381534 18.4161535 18.60031503 18.78631818 18.97418136 19.16392318 19.35556241 19.54911803 19.74460921 19.94205531 20.14147586 20.34289062
19.8 19.998 20.19798 20.3999598 20.6039594 20.80999899 21.01809898 21.22827997 21.44056277 21.6549684 21.87151808 22.09023326 22.3111356 22.53424695 22.75958942 22.98718532 23.21705717 23.44922774 23.68372002 23.92055722 24.15976279 24.40136042 24.64537402 24.89182776 25.14074604 25.3921535 25.64607504 25.90253579 26.16156114 26.42317676 26.68740852 26.95428261 27.22382543 27.49606369 27.77102433 28.04873457 28.32922192 28.61251413 28.89863928 29.18762567
17.6 17.776 17.95376 18.1332976 18.31463058 18.49777688 18.68275465 18.8695822 19.05827802 19.2488608 19.44134941 19.6357629 19.83212053 20.03044174 20.23074615 20.43305361 20.63738415 20.84375799 21.05219557 21.26271753 21.4753447 21.69009815 21.90699913 22.12606912 22.34732981 22.57080311 22.79651114 23.02447625 23.25472102 23.48726823 23.72214091 23.95936232 24.19895594 24.4409455 24.68535496 24.93220851 25.18153059 25.4333459 25.68767936 25.94455615
14.2 14.342 14.48542 14.6302742 14.77657694 14.92434271 15.07358614 15.224322 15.37656522 15.53033087 15.68563418 15.84249052 16.00091543 16.16092458 16.32253383 16.48575917 16.65061676 16.81712293 16.98529415 17.1551471 17.32669857 17.49996555 17.67496521 17.85171486 18.03023201 18.21053433 18.39263967 18.57656607 18.76233173 18.94995505 19.1394546 19.33084914 19.52415764 19.71939921 19.9165932 20.11575914 20.31691673 20.52008589 20.72528675 20.93253962
17 17.17 17.3417 17.515117 17.69026817 17.86717085 18.04584256 18.22630099 18.408564 18.59264964 18.77857613 18.96636189 19.15602551 19.34758577 19.54106163 19.73647224 19.93383696 20.13317533 20.33450709 20.53785216 20.74323068 20.95066299 21.16016962 21.37177131 21.58548903 21.80134392 22.01935735 22.23955093 22.46194644 22.6865659 22.91343156 23.14256588 23.37399154 23.60773145 23.84380876 24.08224685 24.32306932 24.56630001 24.81196301 25.06008264
17.8 17.978 18.15778 18.3393578 18.52275138 18.70797889 18.89505868 19.08400927 19.27484936 19.46759785 19.66227383 19.85889657 20.05748554 20.25806039 20.460641 20.66524741 20.87189988 21.08061888 21.29142507 21.50433932 21.71938271 21.93657654 22.1559423 22.37750173 22.60127674 22.82728951 23.05556241 23.28611803 23.51897921 23.754169 23.99171069 24.2316278 24.47394408 24.71868352 24.96587035 25.21552906 25.46768435 25.72236119 25.9795848 26.23938065
18.6 18.786 18.97386 19.1635986 19.35523459 19.54878693 19.7442748 19.94171755 20.14113472 20.34254607 20.54597153 20.75143125 20.95894556 21.16853502 21.38022037 21.59402257 21.8099628 22.02806242 22.24834305 22.47082648 22.69553474 22.92249009 23.15171499 23.38323214 23.61706446 23.85323511 24.09176746 24.33268513 24.57601198 24.8217721 25.06998983 25.32068972 25.57389662 25.82963559 26.08793194 26.34881126 26.61229937 26.87842237 27.14720659 27.41867866
15.9 16.059 16.21959 16.3817859 16.54560376 16.7110598 16.87817039 17.0469521 17.21742162 17.38959584 17.56349179 17.73912671 17.91651798 18.09568316 18.27663999 18.45940639 18.64400045 18.83044046 19.01874486 19.20893231 19.40102164 19.59503185 19.79098217 19.98889199 20.18878091 20.39066872 20.59457541 20.80052116 21.00852637 21.21861164 21.43079775 21.64510573 21.86155679 22.08017236 22.30097408 22.52398382 22.74922366 22.9767159 23.20648305 23.43854789
6.6 6.666 6.73266 6.7999866 6.867986466 6.936666331 7.006032994 7.076093324 7.146854257 7.2183228 7.290506028 7.363411088 7.437045199 7.511415651 7.586529807 7.662395105 7.739019056 7.816409247 7.89457334 7.973519073 8.053254264 8.133786806 8.215124674 8.297275921 8.38024868 8.464051167 8.548691679 8.634178596 8.720520382 8.807725585 8.895802841 8.98476087 9.074608478 9.165354563 9.257008109 9.34957819 9.443073972 9.537504711 9.632879759 9.729208556
